质数,个,质数差,质数差差
104743,10000,14,8
104729,9999,6,0
104723,9998,6,0
104717,9997,6,2
104711,9996,4,-2
104707,9995,6,-2
104701,9994,8,-2
104693,9993,10,8
104683,9992,2,-2
104681,9991,4,-14
104677,9990,18,10
104659,9989,8,-4
104651,9988,12,-4
104639,9987,16,-10
104623,9986,26,22
104597,9985,4,-10
104593,9984,14,-4
104579,9983,18,8
104561,9982,10,8
104551,9981,2,-4
104549,9980,6,0
104543,9979,6,-4
104537,9978,10,-4
104527,9977,14,-8
104513,9976,22,10
104491,9975,12,6
104479,9974,6,4
104473,9973,2,-10
104471,9972,12,-30
104459,9971,42,24
104417,9970,18,12
104399,9969,6,-4
104393,9968,10,8
104383,9967,2,-10
104381,9966,12,-10
104369,9965,22,2
104347,9964,20,16
104327,9963,4,-8
104323,9962,12,10
104311,9961,2,-10
104309,9960,12,2
104297,9959,10,4
104287,9958,6,-32
104281,9957,38,34
104243,9956,4,-2
104239,9955,6,4
104233,9954,2,-22
104231,9953,24,0
104207,9952,24,20
104183,9951,4,-2
104179,9950,6,-6
104173,9949,12,0
104161,9948,12,10
104149,9947,2,-22
104147,9946,24,20
104123,9945,4,-2
104119,9944,6,0
104113,9943,6,-12
104107,9942,18,16
104089,9941,2,-26
104087,9940,28,22
104059,9939,6,0
104053,9938,6,-8
104047,9937,14,2
104033,9936,12,0
104021,9935,12,6
104009,9934,6,0
104003,9933,6,2
103997,9932,4,2
103993,9931,2,-8
103991,9930,10,8
103981,9929,2,-8
103979,9928,10,8
103969,9927,2,-2
103967,9926,4,-8
103963,9925,12,-20
103951,9924,32,26
103919,9923,6,-4
103913,9922,10,-4
103903,9921,14,-8
103889,9920,22,-2
103867,9919,24,22
103843,9918,2,-2
103841,9917,4,-20
103837,9916,24,22
103813,9915,2,-8
103811,9914,10,-4
103801,9913,14,-4
103787,9912,18,-28
103769,9911,46,26
103723,9910,20,16
103703,9909,4,-8
103699,9908,12,6
103687,9907,6,-6
103681,9906,12,0
103669,9905,12,6
103657,9904,6,-2
103651,9903,8,-16
103643,9902,24,18
103619,9901,6,-16
103613,9900,22,14
103591,9899,8,2
103583,9898,6,2
103577,9897,4,-2
103573,9896,6,0
103567,9895,6,-2
103561,9894,8,4
103553,9893,4,-16
103549,9892,20,2
103529,9891,18,-10
103511,9890,28,16
103483,9889,12,-2
103471,9888,14,8
103457,9887,6,-22
103451,9886,28,26
103423,9885,2,-10
103421,9884,12,2
103409,9883,10,4
103399,9882,6,4
103393,9881,2,-2
103391,9880,4,-26
103387,9879,30,22
103357,9878,8,-8
103349,9877,16,2
103333,9876,14,2
103319,9875,12,-4
103307,9874,16,14
103291,9873,2,-50
103289,9872,52,46
103237,9871,6,-8
103231,9870,14,-20
103217,9869,34,28
103183,9868,6,0
103177,9867,6,-24
103171,9866,30,12
103141,9865,18,-6
103123,9864,24,18
103099,9863,6,4
103093,9862,2,-2
103091,9861,4,-4
103087,9860,8,-2
103079,9859,10,8
103069,9858,2,-16
103067,9857,18,12
